"Date";"Type";"Dead";"Injured";"Location";"Details";"Perpetrator";"Conflict";"Month";"Year"
"1";"Shooting";"1 (+1)";"0";"Mosul, Iraq";"A policeman was killed as a physically-challenged member and two women belonging to the Islamic State (IS) attacked a check point. One of the attackers was killed, and the two others were arrested.[1]";"Islamic State";"Iraqi Civil War";"August";"2017"
"1";"Suicide bombing, shooting";"32+ (+2)";"64+";"Herat, Afghanistan";"2017 Herat mosque attack: Two suicide bombers attacked a Shia mosque in Herat, killing at least 32 people and injuring more than 60. One of the bombers shot at worshipers with a rifle before detonating himself.[2]";"Islamic State";"War in Afghanistan";"August";"2017"
"1";"Shooting";"6";"3";"Helmand Province, Afghanistan";"At least six policemen were killed in a Taliban attack on a check post in Nawa district of southern Helmand.[3]";"Taliban";"War in Afghanistan";"August";"2017"
"1";"Shooting";"2";"3 (+7)";"Ayacucho District, Peru";"A Peruvian soldier died and seven other rebels were wounded in an ambush in a clash between the army and remnants of Shining Path.[4] In other incident in the same district at least one soldier was killed and other three were wounded.[5]";"Shining Path";"Internal conflict in Peru";"August";"2017"
"2";"Stabbing";"0";"1";"Yavneh, Israel";"2017 Yavneh attack: A 19-year-old Palestinian man from Yatta, stabbed a 40-year-old Israeli civilian in a supermarket in the city of Yavneh, Israel. Hid indictment stated that the assailant traveled to Saudi Arabia in order to perform an Umrah, as part of a strengthening of his Islamic belief, and that he set out to attack a Jew in order to fulfill the Islamic commandment of Jihad. The victim suffered serious injuries and was taken to Kaplan Hospital. The attacker was arrested by police.[6][7]";"Ismail Abu Aram";"Israeli-Palestinian conflict";"August";"2017"
"2";"Suicide attack";"7 (+1)";"1";"Kandahar, Afghanistan";"A suicide bomber detonated his explosive charge against a convoy of vehicles of international military forces near the city of Kandahar.[8]";"Taliban";"War in Afghanistan";"August";"2017"
"2";"Shootings";"3";"5";"Lamu County, Kenya";"Al-Shabaab extremists attacked vehicles in Kenya's coastal county of Lamu. The attack killed three people and wounded five others.[9]";"Al-Shabaab";"Spillover of the war in Somalia";"August";"2017"
"3";"Shooting";"7";"10";"Adamawa State, Nigeria";"Boko Haram insurgents attacked Miltho village in Madagali Local Council of Adamawa State, killing seven people. They also injured 10 villagers, before fleeing with carted food items.[10]";"Boko Haram";"Boko Haram insurgency";"August";"2017"
"3";"Shooting";"1";"0";"Mandera County, Kenya";"A police officer was killed and two vehicles were burnt down in an attack by Al-Shabaab militia in Lafey Town, Mandera County.[11]";"Al-Shabaab";"Spillover of the War in Somalia";"August";"2017"
"3";"Bombing";"3";"1";"Kabul, Afghanistan";"At least three civilians including two children were killed in an IED explosion, detonated as a security official drove by in Kabul.[12]";"Taliban";"War in Afghanistan";"August";"2017"
"3";"Suicide attack";"5 (+2)";"Unknown";"Shabwa, Yemen";"A suicide car bombing took place at a checkpoint in Shabwa. The attack killed five soldiers and injured several others.[13]";"Al Qaeda in the Arabian Peninsula";"War in Yemen";"August";"2017"
"3";"Suicide bombing";"4 (+1)";"6";"Kabul, Afghanistan";"A suicide attacker struck a military convoy in Kabul. At least three civilians and a U.S. soldier were killed and 5 US soldiers and a civilian hurt.[14]";"Taliban (suspected)";"War in Afghanistan";"August";"2017"
"3";"Ambush";"1";"0";"Qayyarah, Iraq";"An Iraqi officer was killed, while another went missing in an ambush set up by Islamic State militants, south of Nineveh province.[15]";"Islamic State";"Iraqi Civil War";"August";"2017"
"3";"Shooting";"2";"3";"Esna, Egypt";"A policeman and a civilian were killed and three people wounded in an attack on a patrol in Esna, south of Luxor.[16]";"The Hasm Movement (suspected)";"Insurgency in Egypt";"August";"2017"
"3";"Shooting";"1";"0";"Central Sulawesi, Indonesia";"A farmer was killed after he was attacked by a terrorist in Parigi Moutong, Indonesia.[17]";"East Indonesia Mujahideen";"Terrorism in Indonesia";"August";"2017"
"3";"Ambush";"2";"1";"Shopian district, India";"Two army men, including an officer, were killed while another soldier was injured after militants ambushed an army patrol party in Shopian district of south Kashmir.[18]";"Hizbul Mujahideen";"Insurgency in Jammu and Kashmir";"August";"2017"
"3";"Shooting";"1";"1";"Al-Awamiyah, Saudi Arabia";"A Saudi citizen was killed and another injured during an operation to secure families wishing to leave Awamiya, after an armed attack by terrorists on a bus.[19]";"Shia militants";"2017 Qatif unrest";"August";"2017"
"3";"Stabbing, shooting";"6";"0";"Rakhine State, Myanmar";"Suspected insurgents killed at least six members of a Buddhist ethnic minority in western Myanmar.[20]";"Arakan Rohingya Salvation Army (suspected)";"Rohingya insurgency in Western Myanmar";"August";"2017"
"4";"Ambush";"3";"1";"Salahuddin, Iraq";"IS members attacked a Peshmerga patrol in al-Touz region, east of Salahuddin province, killing an officer and two lower-ranking soldiers, and wounding a fourth officer.[21]";"Islamic State";"Iraqi Civil War";"August";"2017"
"4";"Bombing, shooting";"3";"1";"Mogadishu, Somalia";"A bomb blew up in the center of the Somali capital Mogadishu, killing 3.[22]";"Al-Shabaab";"War in Somalia";"August";"2017"
"4";"Bombing";"0";"7";"Benghazi, Libya";"At least seven people were injured in an attack on a mosque in the Libyan city of Benghazi.[23]";"Libya Revolutionaries Operations Room (suspected)";"Libyan Civil War";"August";"2017"
"4";"Suicide bombings";"0 (+3)";"2";"Maiduguri, Nigeria";"Three suicide bombers detonated explosives at the Simari area of Maiduguri, the Borno state capital, killing themselves and wounding two members of the civilian joint task force.[24]";"Boko Haram";"Boko Haram insurgency";"August";"2017"
"4";"Stabbing";"3";"0";"Lamu County, Kenya";"Three fishermen was hacked to death in Lamu county by suspected Al-Shabaab militants.[25]";"Al-Shabaab";"Spillover of the war in Somalia";"August";"2017"
"4";"Suicide bombing";"3 (+1)";"0";"Mosul, Iraq";"A suicide bomber killed three Iraqi army members as operations continue to clear Islamic State remnant militants in western Mosul.[26]";"Islamic State";"Iraqi Civil War";"August";"2017"
"4";"Shooting";"2";"0";"Mogadishu, Somalia";"The governor of central Galgaduud region and his brother were gunned down in Mogadishu’s Yaaqshid district.[27]";"Al-Shabaab";"War in Somalia";"August";"2017"
"5";"Bombing";"0";"0";"Bloomington, Minnesota, United States";"An explosive shattered windows and damaged a room of a mosque in Minnesota. The state's governor confirmed that this was a \"criminal act of terrorism\".[28]";"Unknown";"Terrorism in the United States";"August";"2017"
"5";"Bombing";"1";"5";"Baqubah, Iraq";"An Iraqi army officer was killed and five soldiers were injured when an explosive device went off west of Baqubah, Diyala province.[29]";"Islamic State";"Iraqi Civil War";"August";"2017"
"6";"Suicide bombings";"7 (+1)";"0";"Far North Region, Cameroon";"A suicide bomber killed at least seven people in a small town in northern Cameroon near the Nigerian border.[30]";"Boko Haram (suspected)";"Boko Haram insurgency";"August";"2017"
"6";"Shooting";"2";"1";"Rajnandgaon district, India";"A police sub-inspector was killed and a constable was seriously injured during a gun battle with the Maoists in Rajnandgoan district of Chhattisgarh.[31]";"CPI";"Naxalite–Maoist insurgency";"August";"2017"
"6";"Attack";"0 (+2)";"3";"Naguanagua Municipality, Venezuela";"2017 Fort Paramacay Attack: At least two dissident military men were killed and three others were wounded in an attack in which the attackers were able to escape carrying a considerable amount of ammunition and weapons such as grenades and assault rifles.[32][33]";"Anti-Maduro militants";"2017 Venezuelan constitutional crisis";"August";"2017"
"6";"Shooting";"0";"1";"Caloto, Cauca, Colombia";"A group of UN observers, former members of the FARC and police were attacked when and the National Police were victims of the attack while working in a remote area of the municipality of Caloto, in the Cauca Department.[34]";"ELN (suspected)";"Colombian conflict";"August";"2017"
"6";"Assassination";"1";"0";"El Rosario, Colombia";"A social leader Nadio Divilia in village of Piera Grande in El Rosario by members of a paramilitary group who wanted to intimidate the community according to witnesses.[35]";"Gaitan Self-defenses of Colombia (suspected)";"Colombian conflict";"August";"2017"
"7";"Shooting";"31";"0";"Lake Chad, Nigeria";"At least 31 fishermen were killed by Boko Haram jihadists in two separate attacks on islands in Lake Chad in northeastern Nigeria.[36]";"Boko Haram";"Boko Haram insurgency";"August";"2017"
